 Department of Biochemical Engineering and Biotechnology,BB5,134,84
 Department of Chemical Engineering,CH1,106,74
 Department of Chemical Engineering,CH7,134,84
 Department of Civil Engineering,CE1,106,74
 Department of Computer Science and Engineering,CS1,104,76
 Department of Computer Science and Engineering,CS5,132,84
 Department of Electrical Engineering,EE1,106,74
 Department of Electrical Engineering,EE2,106,74
 Department of Electrical Engineering,EE5,134,84
 Department of Mathematics,MT5,133,83
 Department of Mechanical Engineering,ME1,106,74
 Department of Mechanical Engineering,ME2,106,74
 Department of Physics,PH1,106,74
 Department of Textile Technology,TT1,105,75
